date,White,Wheat,Glutenfree
06-17,2.1530449291498996,1.7328584824594269,2.6263109817504446
06-18,2.840719308413545,2.7372906616482737,5.477899320687726
06-19,1.4896967151996783,3.6408881291922817,4.449308973818152
06-20,1.4991835390339403,3.715515099245808,1.5339387775096376
06-21,2.649579783724369,2.4631339400463137,4.692760649924287
06-22,1.9874994598726052,1.502525565027351,1.7298390151709189
06-23,2.7557600324664406,1.766825337009227,2.4491266904122853
06-24,1.2715997068946197,1.3650153154485096,4.363440831454335
06-25,2.262574696704279,2.01526579814212,4.62508993492647
